季,比賽日期,效力球隊,對手,攻擊,攻擊%,攔網,攔網%,發球,發球%,接發球,接發球%,防守,防守%,舉球,舉球%,得分,player_id,球員姓名,球員背號,球隊,賽事類型,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數
企17,2021-10-31 13:00:00,中國人纖,臺北鯨華,3 - 14,21.43,3 - 13,23.08,0 - 11,0.0,2 - 5,40.0,1 - 11,9.09,0 - 1,0.0,6,108,胡曉佩,1,高雄台電,例行賽,3,14,3,13,0,11,2,5,1,11,0,1
企17,2021-11-13 16:30:00,中國人纖,極速超跑,3 - 10,30.0,2 - 12,16.67,0 - 9,0.0,0 - 0,0.0,0 - 11,0.0,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,3,10,2,12,0,9,0,0,0,11,0,0
企17,2021-11-20 12:00:00,中國人纖,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2021-11-21 13:00:00,中國人纖,臺北鯨華,1 - 6,16.67,0 - 1,0.0,1 - 5,20.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,1,6,0,1,1,5,0,0,0,3,0,0
企17,2021-11-27 18:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2021-11-28 17:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,1,0,1,0,0,0,3,0,0
企17,2021-12-11 16:00:00,中國人纖,臺北鯨華,1 - 3,33.33,0 - 4,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,3,0,4,0,1,0,0,0,1,0,0
企17,2021-12-12 17:00:00,中國人纖,義力營造,0 - 0,0.0,0 - 0,0.0,2 - 6,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,2,6,0,0,0,0,0,0
企17,2022-01-08 18:00:00,中國人纖,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,4,0,0,0,1,0,0
企17,2022-01-09 15:00:00,中國人纖,高雄台電,1 - 4,25.0,0 - 4,0.0,0 - 3,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,4,0,4,0,3,0,0,0,2,0,0
企17,2022-01-15 12:00:00,中國人纖,義力營造,1 - 2,50.0,1 - 3,33.33,1 - 3,33.33,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,1,2,1,3,1,3,0,0,0,1,0,0
企17,2022-01-16 11:00:00,中國人纖,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,2,0,0,0,1,0,0
企17,2022-01-22 16:00:00,中國人纖,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2022-01-23 17:00:00,中國人纖,極速超跑,2 - 3,66.67,0 - 1,0.0,0 - 3,0.0,0 - 1,0.0,0 - 3,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,3,0,1,0,3,0,1,0,3,0,0
企17,2022-02-12 18:00:00,中國人纖,義力營造,1 - 1,100.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,1,0,1,0,1,0,0,0,0,0,0
企17,2022-02-13 17:00:00,中國人纖,義力營造,2 - 4,50.0,0 - 5,0.0,0 - 4,0.0,0 - 0,0.0,0 - 5,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,4,0,5,0,4,0,0,0,5,0,0
企17,2022-02-19 16:00:00,中國人纖,極速超跑,3 - 7,42.86,0 - 1,0.0,0 - 3,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,3,7,0,1,0,3,0,0,0,3,0,0
企17,2022-02-20 15:00:00,中國人纖,義力營造,2 - 4,50.0,1 - 7,14.29,1 - 3,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,2,4,1,7,1,3,0,0,0,0,0,0
企17,2022-02-26 14:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2022-02-27 13:00:00,中國人纖,高雄台電,0 - 1,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,1,0,1,0,1,0,0,0,0,0,0
企17,2022-03-12 16:00:00,中國人纖,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企18,2022-10-15 13:00:00,高雄台電,臺北鯨華,2 - 3,66.67,1 - 3,33.33,0 - 2,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,2,3,1,3,0,2,0,0,0,0,0,0
企18,2022-10-16 17:00:00,高雄台電,臺北鯨華,2 - 7,28.57,1 - 5,20.0,0 - 8,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,2,7,1,5,0,8,0,0,0,2,0,0
企18,2022-10-22 18:00:00,愛山林,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,0 - 3,0.0,0 - 16,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,1,0,1,0,3,0,16
企18,2022-10-23 17:00:00,愛山林,新北中纖,0 - 0,0.0,0 - 3,0.0,0 - 6,0.0,0 - 0,0.0,0 - 2,0.0,3 - 33,9.09,0,146,江辰翊,1,義力營造,例行賽,0,0,0,3,0,6,0,0,0,2,3,33
企18,2022-10-29 16:00:00,愛山林,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,1 - 9,11.11,1 - 31,3.23,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,1,9,1,31
企18,2022-10-30 17:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,0 - 1,0.0,5 - 18,27.78,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,0,1,5,18
企18,2022-11-05 18:00:00,愛山林,新北中纖,0 - 0,0.0,0 - 2,0.0,0 - 1,0.0,0 - 0,0.0,1 - 9,11.11,4 - 40,10.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,2,0,1,0,0,1,9,4,40
企18,2022-11-06 13:00:00,愛山林,極速超跑,0 - 3,0.0,0 - 3,0.0,0 - 3,0.0,0 - 0,0.0,0 - 1,0.0,5 - 30,16.67,0,146,江辰翊,1,義力營造,例行賽,0,3,0,3,0,3,0,0,0,1,5,30
企18,2022-11-13 13:00:00,高雄台電,極速超跑,7 - 17,41.18,1 - 10,10.0,1 - 11,9.09,0 - 0,0.0,4 - 13,30.77,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,7,17,1,10,1,11,0,0,4,13,0,0
企18,2022-11-26 14:00:00,高雄台電,極速超跑,3 - 12,25.0,1 - 5,20.0,0 - 3,0.0,0 - 4,0.0,0 - 0,0.0,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,3,12,1,5,0,3,0,4,0,0,0,0
企18,2022-11-27 13:00:00,高雄台電,極速超跑,5 - 7,71.43,5 - 13,38.46,0 - 10,0.0,1 - 1,100.0,0 - 2,0.0,0 - 0,0.0,10,108,胡曉佩,1,高雄台電,例行賽,5,7,5,13,0,10,1,1,0,2,0,0
企18,2022-12-03 15:00:00,高雄台電,新北中纖,11 - 18,61.11,1 - 9,11.11,2 - 16,12.5,0 - 1,0.0,1 - 4,25.0,0 - 0,0.0,14,108,胡曉佩,1,高雄台電,例行賽,11,18,1,9,2,16,0,1,1,4,0,0
企18,2022-12-04 13:00:00,高雄台電,新北中纖,2 - 5,40.0,0 - 2,0.0,0 - 4,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,5,0,2,0,4,0,0,0,3,0,0
企18,2022-12-10 16:00:00,高雄台電,臺北鯨華,4 - 14,28.57,2 - 7,28.57,0 - 13,0.0,0 - 0,0.0,1 - 4,25.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,4,14,2,7,0,13,0,0,1,4,0,0
企18,2022-12-10 18:00:00,愛山林,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 3,0.0,0 - 1,0.0,0 - 1,0.0,14 - 27,51.85,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,3,0,1,0,1,14,27
企18,2022-12-11 15:00:00,高雄台電,義力營造,1 - 14,7.14,4 - 14,28.57,4 - 14,28.57,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,1,14,4,14,4,14,0,0,0,4,0,0
企18,2022-12-11 15:00:00,愛山林,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,1 - 1,100.0,9 - 30,30.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,1,1,9,30
企18,2022-12-17 14:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,9 - 11,81.82,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,1,0,0,0,1,9,11
企18,2022-12-17 16:00:00,高雄台電,新北中纖,6 - 12,50.0,5 - 14,35.71,1 - 7,14.29,0 - 0,0.0,3 - 7,42.86,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,6,12,5,14,1,7,0,0,3,7,0,0
企18,2022-12-18 15:00:00,高雄台電,義力營造,1 - 5,20.0,2 - 10,20.0,1 - 7,14.29,0 - 0,0.0,1 - 3,33.33,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,1,5,2,10,1,7,0,0,1,3,0,0
企18,2022-12-18 15:00:00,愛山林,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,0 - 4,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,1,0,0,0,1,0,4
企18,2022-12-31 16:00:00,高雄台電,極速超跑,4 - 19,21.05,2 - 15,13.33,3 - 14,21.43,0 - 3,0.0,1 - 11,9.09,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,4,19,2,15,3,14,0,3,1,11,0,0
企18,2023-01-01 17:00:00,高雄台電,新北中纖,5 - 15,33.33,3 - 13,23.08,0 - 14,0.0,0 - 0,0.0,0 - 5,0.0,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,例行賽,5,15,3,13,0,14,0,0,0,5,0,0
企18,2023-01-07 18:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,1 - 4,25.0,5 - 37,13.51,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,3,0,0,1,4,5,37
企18,2023-01-08 15:00:00,愛山林,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,2 - 2,100.0,2 - 11,18.18,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,2,2,2,11
企18,2023-01-14 16:00:00,愛山林,新北中纖,0 - 1,0.0,0 - 3,0.0,1 - 4,25.0,0 - 0,0.0,2 - 20,10.0,4 - 60,6.67,1,146,江辰翊,1,義力營造,例行賽,0,1,0,3,1,4,0,0,2,20,4,60
企18,2023-01-14 18:00:00,高雄台電,臺北鯨華,4 - 12,33.33,3 - 16,18.75,0 - 8,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,7,108,胡曉佩,1,高雄台電,例行賽,4,12,3,16,0,8,0,0,0,3,0,0
企18,2023-01-15 17:00:00,高雄台電,義力營造,8 - 14,57.14,0 - 10,0.0,0 - 12,0.0,0 - 0,0.0,0 - 5,0.0,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,例行賽,8,14,0,10,0,12,0,0,0,5,0,0
企18,2023-01-15 17:00:00,愛山林,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 5,0.0,0 - 0,0.0,0 - 4,0.0,3 - 40,7.5,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,5,0,0,0,4,3,40
企18,2023-02-04 14:00:00,愛山林,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,1 - 5,20.0,5 - 24,20.83,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,1,5,5,24
企18,2023-02-05 13:00:00,高雄台電,極速超跑,6 - 19,31.58,5 - 15,33.33,1 - 16,6.25,2 - 5,40.0,1 - 5,20.0,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,6,19,5,15,1,16,2,5,1,5,0,0
企18,2023-02-11 13:00:00,愛山林,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,0 - 0,0.0,3 - 32,9.38,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,3,0,0,0,0,3,32
企18,2023-02-11 15:00:00,高雄台電,新北中纖,8 - 21,38.1,4 - 14,28.57,2 - 15,13.33,0 - 0,0.0,5 - 8,62.5,0 - 0,0.0,14,108,胡曉佩,1,高雄台電,例行賽,8,21,4,14,2,15,0,0,5,8,0,0
企18,2023-02-18 14:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 1,0.0,0 - 4,0.0,0 - 0,0.0,1 - 6,16.67,12 - 46,26.09,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,4,0,0,1,6,12,46
企18,2023-02-19 13:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,1 - 1,100.0,1 - 11,9.09,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,0,0,0,1,1,1,11
企18,2023-02-25 13:00:00,高雄台電,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企18,2023-03-04 17:00:00,高雄台電,義力營造,7 - 18,38.89,2 - 18,11.11,3 - 14,21.43,0 - 1,0.0,0 - 5,0.0,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,7,18,2,18,3,14,0,1,0,5,0,0
企18,2023-03-04 17:00:00,愛山林,高雄台電,0 - 2,0.0,0 - 1,0.0,0 - 4,0.0,0 - 0,0.0,1 - 12,8.33,6 - 32,18.75,0,146,江辰翊,1,義力營造,例行賽,0,2,0,1,0,4,0,0,1,12,6,32
企18,2023-03-05 12:00:00,高雄台電,義力營造,10 - 17,58.82,1 - 17,5.88,1 - 17,5.88,0 - 0,0.0,1 - 6,16.67,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,10,17,1,17,1,17,0,0,1,6,0,0
企18,2023-03-05 12:00:00,愛山林,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 5,0.0,0 - 0,0.0,0 - 6,0.0,8 - 32,25.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,5,0,0,0,6,8,32
企18,2023-03-11 16:00:00,高雄台電女排,新北中纖,2 - 17,11.76,3 - 24,12.5,0 - 20,0.0,0 - 1,0.0,2 - 14,14.29,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,2,17,3,24,0,20,0,1,2,14,0,0
企18,2023-03-12 13:00:00,愛山林,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企18,2023-03-18 16:00:00,高雄台電女排,臺北鯨華,1 - 8,12.5,2 - 10,20.0,0 - 6,0.0,0 - 2,0.0,1 - 4,25.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,1,8,2,10,0,6,0,2,1,4,0,0
企18,2023-03-19 15:00:00,高雄台電女排,極速超跑,7 - 13,53.85,0 - 6,0.0,0 - 8,0.0,0 - 0,0.0,1 - 4,25.0,0 - 0,0.0,7,108,胡曉佩,1,高雄台電,例行賽,7,13,0,6,0,8,0,0,1,4,0,0
企18,2023-03-25 16:00:00,挑戰賽2,挑戰賽1,3 - 13,23.08,3 - 19,15.79,1 - 15,6.67,0 - 1,0.0,0 - 6,0.0,0 - 0,0.0,7,108,胡曉佩,1,高雄台電,季後賽,3,13,3,19,1,15,0,1,0,6,0,0
企18,2023-03-26 15:00:00,挑戰賽1,挑戰賽2,2 - 15,13.33,5 - 21,23.81,1 - 18,5.56,0 - 1,0.0,2 - 7,28.57,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,季後賽,2,15,5,21,1,18,0,1,2,7,0,0
企19,2023-10-14 15:00:00,臺北鯨華,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,1 - 4,25.0,0 - 0,0.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,0,0,1,0,1,1,4,0,0,0,0
企19,2023-10-14 15:00:00,高雄台電女排,臺北鯨華,8 - 16,50.0,2 - 15,13.33,4 - 20,20.0,4 - 7,57.14,1 - 7,14.29,0 - 0,0.0,14,108,胡曉佩,1,高雄台電,例行賽,8,16,2,15,4,20,4,7,1,7,0,0
企19,2023-11-04 16:00:00,臺北鯨華,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企19,2023-11-04 18:00:00,高雄台電女排,義力營造,8 - 18,44.44,1 - 7,14.29,1 - 7,14.29,0 - 0,0.0,0 - 5,0.0,0 - 0,0.0,10,108,胡曉佩,1,高雄台電,例行賽,8,18,1,7,1,7,0,0,0,5,0,0
企19,2023-11-04 18:00:00,凱撒飯店,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企19,2023-11-05 15:00:00,高雄台電女排,新北中纖,4 - 18,22.22,3 - 20,15.0,1 - 23,4.35,0 - 0,0.0,1 - 5,20.0,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,例行賽,4,18,3,20,1,23,0,0,1,5,0,0
企19,2023-11-05 17:00:00,臺北鯨華,義力營造,6 - 25,24.0,0 - 6,0.0,1 - 12,8.33,6 - 19,31.58,6 - 11,54.55,0 - 0,0.0,7,59,林良黛,1,臺北鯨華,例行賽,6,25,0,6,1,12,6,19,6,11,0,0
企19,2023-11-05 17:00:00,凱撒飯店,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企19,2023-11-11 14:00:00,臺北鯨華,極速超跑,0 - 4,0.0,0 - 0,0.0,0 - 0,0.0,1 - 3,33.33,0 - 0,0.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,4,0,0,0,0,1,3,0,0,0,0
企19,2023-11-11 16:00:00,高雄台電女排,新北中纖,4 - 15,26.67,1 - 6,16.67,1 - 17,5.88,0 - 0,0.0,1 - 6,16.67,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,4,15,1,6,1,17,0,0,1,6,0,0
企19,2023-11-12 13:00:00,臺北鯨華,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企19,2023-11-12 13:00:00,高雄台電女排,臺北鯨華,4 - 12,33.33,3 - 14,21.43,0 - 13,0.0,0 - 0,0.0,1 - 6,16.67,0 - 0,0.0,7,108,胡曉佩,1,高雄台電,例行賽,4,12,3,14,0,13,0,0,1,6,0,0
企19,2023-11-18 14:00:00,凱撒飯店,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,1 - 3,33.33,0 - 9,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,1,0,0,1,3,0,9
企19,2023-11-18 16:00:00,高雄台電女排,新北中纖,6 - 20,30.0,1 - 8,12.5,1 - 11,9.09,0 - 0,0.0,1 - 4,25.0,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,例行賽,6,20,1,8,1,11,0,0,1,4,0,0
企19,2023-11-19 13:00:00,凱撒飯店,新北中纖,0 - 0,0.0,0 - 1,0.0,0 - 2,0.0,0 - 0,0.0,3 - 5,60.0,1 - 29,3.45,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,2,0,0,3,5,1,29
企19,2023-11-19 15:00:00,高雄台電女排,極速超跑,3 - 16,18.75,6 - 16,37.5,0 - 11,0.0,3 - 5,60.0,1 - 9,11.11,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,3,16,6,16,0,11,3,5,1,9,0,0
企19,2023-11-25 14:00:00,凱撒飯店,極速超跑,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 5,0.0,0,146,江辰翊,1,義力營造,例行賽,0,1,0,0,0,0,0,0,0,0,0,5
企19,2023-11-25 16:00:00,臺北鯨華,高雄台電,1 - 4,25.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,1 - 1,100.0,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,4,0,1,0,0,0,0,1,1,0,0
企19,2023-11-25 16:00:00,高雄台電女排,臺北鯨華,2 - 10,20.0,4 - 18,22.22,0 - 16,0.0,0 - 2,0.0,4 - 4,100.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,2,10,4,18,0,16,0,2,4,4,0,0
企19,2023-11-26 13:00:00,臺北鯨華,極速超跑,2 - 8,25.0,0 - 1,0.0,0 - 3,0.0,3 - 9,33.33,1 - 3,33.33,0 - 0,0.0,2,59,林良黛,1,臺北鯨華,例行賽,2,8,0,1,0,3,3,9,1,3,0,0
企19,2023-11-26 15:00:00,高雄台電女排,義力營造,5 - 13,38.46,1 - 11,9.09,0 - 7,0.0,0 - 0,0.0,3 - 9,33.33,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,5,13,1,11,0,7,0,0,3,9,0,0
企19,2023-11-26 15:00:00,凱撒飯店,高雄台電,0 - 2,0.0,0 - 0,0.0,0 - 7,0.0,0 - 0,0.0,1 - 15,6.67,16 - 92,17.39,0,146,江辰翊,1,義力營造,例行賽,0,2,0,0,0,7,0,0,1,15,16,92
企19,2023-12-02 18:00:00,凱撒飯店,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企19,2023-12-03 17:00:00,高雄台電女排,新北中纖,3 - 12,25.0,0 - 8,0.0,0 - 6,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,3,12,0,8,0,6,0,1,0,1,0,0
企19,2023-12-09 18:00:00,高雄台電女排,義力營造,2 - 8,25.0,0 - 9,0.0,0 - 8,0.0,1 - 1,100.0,2 - 2,100.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,8,0,9,0,8,1,1,2,2,0,0
企19,2023-12-09 18:00:00,凱撒飯店,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,0 - 2,0.0,6 - 33,18.18,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,0,2,6,33
企19,2023-12-10 17:00:00,高雄台電女排,義力營造,2 - 5,40.0,1 - 2,50.0,2 - 13,15.38,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,2,5,1,2,2,13,0,1,0,1,0,0
企19,2023-12-10 17:00:00,凱撒飯店,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,0 - 1,0.0,0 - 4,0.0,3 - 22,13.64,0,146,江辰翊,1,義力營造,例行賽,0,0,0,1,0,1,0,1,0,4,3,22
企19,2023-12-16 14:00:00,臺北鯨華,極速超跑,1 - 1,100.0,0 - 2,0.0,0 - 2,0.0,1 - 4,25.0,0 - 2,0.0,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,1,0,2,0,2,1,4,0,2,0,0
企19,2023-12-17 13:00:00,臺北鯨華,義力營造,5 - 21,23.81,1 - 2,50.0,2 - 12,16.67,6 - 15,40.0,3 - 13,23.08,0 - 0,0.0,8,59,林良黛,1,臺北鯨華,例行賽,5,21,1,2,2,12,6,15,3,13,0,0
企19,2023-12-17 13:00:00,凱撒飯店,臺北鯨華,0 - 1,0.0,0 - 1,0.0,0 - 4,0.0,0 - 0,0.0,0 - 5,0.0,9 - 45,20.0,0,146,江辰翊,1,義力營造,例行賽,0,1,0,1,0,4,0,0,0,5,9,45
企19,2023-12-23 14:00:00,臺北鯨華,新北中纖,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,1,0,0,0,1,0,0,0,1,0,0
企19,2023-12-24 13:00:00,臺北鯨華,新北中纖,1 - 11,9.09,0 - 2,0.0,0 - 6,0.0,5 - 11,45.45,1 - 5,20.0,0 - 1,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,11,0,2,0,6,5,11,1,5,0,1
企19,2024-01-06 14:00:00,高雄台電女排,極速超跑,4 - 15,26.67,1 - 8,12.5,0 - 16,0.0,1 - 3,33.33,4 - 9,44.44,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,4,15,1,8,0,16,1,3,4,9,0,0
