季,比賽日期,效力球隊,對手,攻擊,攻擊%,攔網,攔網%,發球,發球%,接發球,接發球%,防守,防守%,舉球,舉球%,得分,player_id,球員姓名,球員背號,球隊,賽事類型,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,攻擊_z,攔網_z,發球_z,接發球_z,防守_z,舉球_z,得分_z,max_z,is_anomaly,anomaly_type
企18,2023-03-04 17:00:00,高雄台電,義力營造,7 - 18,38.89,2 - 18,11.11,3 - 14,21.43,0 - 1,0.0,0 - 5,0.0,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,7,18,2,18,3,14,0,1,0,5,0,0,0.27701656561285987,-0.19948107826985514,2.0395466364897206,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,1.3389177410501638,2.0395466364897206,True,exceptional
企19,2023-11-25 16:00:00,臺北鯨華,高雄台電,1 - 4,25.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,1 - 1,100.0,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,4,0,1,0,0,0,0,1,1,0,0,-0.12881973566431626,-0.4672860942652909,-0.5547769932868728,-1.5574333196821817,2.8826839550144583,-0.11785113019775789,-1.0689311817517937,2.8826839550144583,True,exceptional
企19,2023-11-25 16:00:00,高雄台電女排,臺北鯨華,2 - 10,20.0,4 - 18,22.22,0 - 16,0.0,0 - 2,0.0,4 - 4,100.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,2,10,4,18,0,16,0,2,4,4,0,0,-0.6566536287440681,0.476534476918845,-0.5767505946787177,-0.5181065691716912,3.91496443673787,-0.0949157995752499,-0.08555384926838104,3.91496443673787,True,exceptional
企19,2023-12-09 18:00:00,高雄台電女排,義力營造,2 - 8,25.0,0 - 9,0.0,0 - 8,0.0,1 - 1,100.0,2 - 2,100.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,8,0,9,0,8,1,1,2,2,0,0,-0.4095201733822555,-0.8754966334585552,-0.5767505946787177,2.736313262875625,3.91496443673787,-0.0949157995752499,-1.035201576147411,3.91496443673787,True,exceptional
企19,2023-12-10 17:00:00,高雄台電女排,義力營造,2 - 5,40.0,1 - 2,50.0,2 - 13,15.38,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,2,5,1,2,2,13,0,1,0,1,0,0,0.3318801927031822,2.1668776023141727,1.3009279594682996,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,-0.3229657809881385,2.1668776023141727,True,exceptional
企19,2023-12-16 14:00:00,臺北鯨華,極速超跑,1 - 1,100.0,0 - 2,0.0,0 - 2,0.0,1 - 4,25.0,0 - 2,0.0,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,1,0,2,0,2,1,4,0,2,0,0,3.8380288762614803,-0.4672860942652909,-0.5547769932868728,-0.5844125133166048,-1.286583963940519,-0.11785113019775789,-1.0689311817517937,3.8380288762614803,True,exceptional
企19,2023-12-17 13:00:00,臺北鯨華,義力營造,5 - 21,23.81,1 - 2,50.0,2 - 12,16.67,6 - 15,40.0,3 - 13,23.08,0 - 0,0.0,8,59,林良黛,1,臺北鯨華,例行賽,5,21,1,2,2,12,6,15,3,13,0,0,-0.1917604003068723,1.8494840085497746,2.0677733746636444,-0.0006000294972587797,-0.3243169282457104,-0.11785113019775789,0.20770700688068036,2.0677733746636444,True,exceptional
企19,2024-02-17 16:00:00,高雄台電女排,臺北鯨華,4 - 10,40.0,2 - 11,18.18,0 - 7,0.0,1 - 1,100.0,2 - 5,40.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,4,10,2,11,0,7,1,1,2,5,0,0,0.3318801927031822,0.2307106386684086,-0.5767505946787177,2.736313262875625,1.0943818201334723,-0.0949157995752499,-0.08555384926838104,2.736313262875625,True,exceptional
企19,2024-02-17 18:00:00,凱撒飯店,極速超跑,1 - 1,100.0,0 - 0,0.0,1 - 6,16.67,0 - 0,0.0,2 - 6,33.33,14 - 51,27.45,2,146,江辰翊,1,義力營造,例行賽,1,1,0,0,1,6,0,0,2,6,14,51,3.392734438864601,-0.12717453173571636,3.566795680521995,0.0,0.5069147502617642,0.35928388846635817,2.337271325305289,3.566795680521995,True,exceptional
企19,2024-02-18 17:00:00,高雄台電女排,極速超跑,1 - 4,25.0,0 - 10,0.0,0 - 3,0.0,0 - 0,0.0,2 - 3,66.67,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,4,0,10,0,3,0,0,2,3,0,0,-0.4095201733822555,-0.8754966334585552,-0.5767505946787177,-0.5181065691716912,2.348130793214127,-0.0949157995752499,-1.2726135078671683,2.348130793214127,True,exceptional
企19,2024-03-03 13:00:00,高雄台電女排,臺北鯨華,14 - 20,70.0,1 - 15,6.67,0 - 18,0.0,1 - 2,50.0,2 - 5,40.0,0 - 0,0.0,15,108,胡曉佩,1,高雄台電,例行賽,14,20,1,15,0,18,1,2,2,5,0,0,1.8146809248740576,-0.46964391040647335,-0.5767505946787177,1.1091033468519669,1.0943818201334723,-0.0949157995752499,2.051153536209436,2.051153536209436,True,exceptional
企19,2024-03-17 13:00:00,臺北鯨華,義力營造,1 - 1,100.0,0 - 0,0.0,0 - 2,0.0,1 - 1,100.0,1 - 2,50.0,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,1,1,0,0,0,2,1,1,1,2,0,0,3.8380288762614803,-0.4672860942652909,-0.5547769932868728,2.3346499057801258,0.7980499955369695,-0.11785113019775789,-1.0689311817517937,3.8380288762614803,True,exceptional
企19,2024-03-24 15:00:00,臺北鯨華,新北中纖,0 - 5,0.0,0 - 3,0.0,1 - 3,33.33,7 - 7,100.0,2 - 3,66.67,0 - 0,0.0,1,59,林良黛,1,臺北鯨華,例行賽,0,5,0,3,1,3,7,7,2,3,0,0,-1.4511026063062484,-0.4672860942652909,4.688750527036506,2.3346499057801258,1.4930669576267643,-0.11785113019775789,-1.0689311817517937,4.688750527036506,True,exceptional
企19,2024-03-30 16:00:00,臺北鯨華,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,2 - 2,100.0,1 - 1,100.0,0 - 0,0.0,0,59,林良黛,1,臺北鯨華,例行賽,0,0,0,0,0,0,2,2,1,1,0,0,-1.4511026063062484,-0.4672860942652909,-0.5547769932868728,2.3346499057801258,2.8826839550144583,-0.11785113019775789,-1.251308065842147,2.8826839550144583,True,exceptional
企20,2024-10-27 17:00:00,義力營造,臺北鯨華,0 - 1,0.0,0 - 0,0.0,1 - 8,12.5,0 - 0,0.0,1 - 12,8.33,12 - 86,13.95,1,146,江辰翊,1,義力營造,例行賽,0,1,0,0,1,8,0,0,1,12,12,86,-0.4380099906873644,-0.12717453173571636,2.600485383065737,0.0,-0.4301052589056419,-0.4525820382925159,0.9117015807928432,2.600485383065737,True,exceptional
企20,2024-11-02 12:00:00,義力營造,新北中纖,1 - 1,100.0,0 - 1,0.0,0 - 5,0.0,0 - 0,0.0,3 - 7,42.86,21 - 36,58.33,1,146,江辰翊,1,義力營造,例行賽,1,1,0,1,0,5,0,0,3,7,21,36,3.392734438864601,-0.12717453173571636,-0.29612821842184694,0.0,0.8641067777563796,2.2163520231562863,0.9117015807928432,3.392734438864601,True,exceptional
企20,2024-11-03 13:00:00,高雄台電女排,臺北鯨華,6 - 21,28.57,0 - 11,0.0,0 - 16,0.0,2 - 2,100.0,0 - 5,0.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,6,21,0,11,0,16,2,2,0,5,0,0,-0.23306688625392133,-0.8754966334585552,-0.5767505946787177,2.736313262875625,-0.786006590936126,-0.0949157995752499,-0.08555384926838104,2.736313262875625,True,exceptional
企20,2024-11-10 17:00:00,義力營造,新北中纖,0 - 1,0.0,1 - 5,20.0,1 - 6,16.67,0 - 0,0.0,7 - 10,70.0,16 - 68,23.53,2,146,江辰翊,1,義力營造,例行賽,0,1,1,5,1,6,0,0,7,10,16,68,-0.4380099906873644,1.695660423142885,3.566795680521995,0.0,1.8813356997085158,0.12354207862230004,2.337271325305289,3.566795680521995,True,exceptional
企20,2024-11-16 14:00:00,義力營造,臺北鯨華,2 - 3,66.67,0 - 1,0.0,0 - 18,0.0,0 - 0,0.0,0 - 16,0.0,25 - 98,25.51,2,146,江辰翊,1,義力營造,例行賽,2,3,0,1,0,18,0,0,0,16,25,98,2.115947320494931,-0.12717453173571636,-0.29612821842184694,0.0,-0.7423203259602217,0.24261574788026827,2.337271325305289,2.337271325305289,True,exceptional
企20,2024-11-17 13:00:00,臺北鯨華,義力營造,2 - 14,14.29,0 - 2,0.0,2 - 12,16.67,0 - 10,0.0,1 - 10,10.0,0 - 0,0.0,4,59,林良黛,1,臺北鯨華,例行賽,2,14,0,2,2,12,0,10,1,10,0,0,-0.69528571744732,-0.4672860942652909,2.0677733746636444,-1.5574333196821817,-0.8696571720450214,-0.11785113019775789,-0.5218005294807333,2.0677733746636444,True,exceptional
企20,2024-11-17 13:00:00,義力營造,臺北鯨華,1 - 1,100.0,0 - 1,0.0,0 - 13,0.0,0 - 0,0.0,0 - 9,0.0,19 - 78,24.36,1,146,江辰翊,1,義力營造,例行賽,1,1,0,1,0,13,0,0,0,9,19,78,3.392734438864601,-0.12717453173571636,-0.29612821842184694,0.0,-0.7423203259602217,0.17345679856377147,0.9117015807928432,3.392734438864601,True,exceptional
企20,2024-11-24 15:00:00,高雄台電女排,新北中纖,8 - 15,53.33,3 - 14,21.43,1 - 16,6.25,0 - 1,0.0,7 - 10,70.0,0 - 0,0.0,12,108,胡曉佩,1,高雄台電,例行賽,8,15,3,14,1,16,0,1,7,10,0,0,0.9907379846977745,0.42846496399363593,0.18628522869051892,-0.5181065691716912,2.504673128435671,-0.0949157995752499,1.3389177410501638,2.504673128435671,True,exceptional
企20,2024-12-28 18:00:00,臺北鯨華,新北中纖,13 - 42,30.95,1 - 4,25.0,2 - 10,20.0,16 - 23,69.57,2 - 7,28.57,0 - 0,0.0,16,59,林良黛,1,臺北鯨華,例行賽,13,42,1,4,2,10,16,23,2,7,0,0,0.18588358754846354,0.6910989571422418,2.5916541620226856,1.1502889802719451,-0.09542411949508206,-0.11785113019775789,1.6667220796035078,2.5916541620226856,True,exceptional
企20,2025-01-12 17:00:00,義力營造,高雄台電,2 - 4,50.0,0 - 2,0.0,0 - 8,0.0,0 - 0,0.0,1 - 10,10.0,9 - 76,11.84,2,146,江辰翊,1,義力營造,例行賽,2,4,0,2,0,8,0,0,1,10,9,76,1.4773622240886182,-0.12717453173571636,-0.29612821842184694,0.0,-0.3675123222932592,-0.579473675734088,2.337271325305289,2.337271325305289,True,exceptional
企20,2025-01-18 16:00:00,臺北鯨華,新北中纖,19 - 57,33.33,2 - 8,25.0,2 - 15,13.33,11 - 17,64.71,9 - 23,39.13,0 - 0,0.0,23,59,林良黛,1,臺北鯨華,例行賽,19,57,2,8,2,15,11,17,9,23,0,0,0.31176491683357543,0.6910989571422418,1.5423193717269479,0.9611337355144771,0.34485057274656367,-0.11785113019775789,2.9433602682359816,2.9433602682359816,True,exceptional
企20,2025-01-18 18:00:00,義力營造,高雄台電,1 - 2,50.0,0 - 0,0.0,1 - 9,11.11,0 - 0,0.0,2 - 6,33.33,13 - 58,22.41,2,146,江辰翊,1,義力營造,例行賽,1,2,0,0,1,9,0,0,2,6,13,58,1.4773622240886182,-0.12717453173571636,2.2783819505803176,0.0,0.5069147502617642,0.05618727580971192,2.337271325305289,2.337271325305289,True,exceptional
企20,2025-02-16 13:00:00,高雄台電女排,臺北鯨華,6 - 18,33.33,2 - 16,12.5,1 - 17,5.88,1 - 1,100.0,2 - 7,28.57,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,6,18,2,16,1,17,1,1,2,7,0,0,0.0022041632505241586,-0.11490307451537327,0.1411135079470601,2.736313262875625,0.5570608316703346,-0.0949157995752499,0.6266819458908913,2.736313262875625,True,exceptional
企20,2025-02-22 14:00:00,義力營造,高雄台電,2 - 2,100.0,0 - 2,0.0,0 - 10,0.0,0 - 0,0.0,0 - 10,0.0,29 - 92,31.52,2,146,江辰翊,1,義力營造,例行賽,2,2,0,2,0,10,0,0,0,10,29,92,3.392734438864601,-0.12717453173571636,-0.29612821842184694,0.0,-0.7423203259602217,0.6040464308299595,2.337271325305289,3.392734438864601,True,exceptional
企20,2025-02-23 17:00:00,義力營造,高雄台電,0 - 1,0.0,0 - 4,0.0,2 - 19,10.53,0 - 0,0.0,2 - 23,8.7,41 - 147,27.89,2,146,江辰翊,1,義力營造,例行賽,0,1,0,4,2,19,0,0,2,23,41,147,-0.4380099906873644,-0.12717453173571636,2.1439790794712934,0.0,-0.4162373627699643,0.38574470385701787,2.337271325305289,2.337271325305289,True,exceptional
企21,2025-11-02 17:00:00,臺北鯨華,義力營造,13 - 23,56.52,0 - 1,0.0,1 - 24,4.17,12 - 16,75.0,5 - 8,62.5,2 - 4,50.0,14,59,林良黛,1,臺北鯨華,例行賽,13,23,0,1,1,24,12,16,5,8,2,4,1.5383145076410318,-0.4672860942652909,0.10125390259517013,1.3616290994145488,1.3192084854063417,8.367430244040811,1.301968311422801,8.367430244040811,True,exceptional
企21,2025-11-09 17:00:00,高雄台電,義力營造,9 - 20,45.0,5 - 8,62.5,0 - 13,0.0,2 - 4,50.0,1 - 8,12.5,0 - 1,0.0,14,108,胡曉佩,1,高雄台電,例行賽,9,20,5,8,0,13,2,4,1,8,0,1,0.5790136480649948,2.9274711612573547,-0.5767505946787177,1.1091033468519669,-0.19838521247687652,-0.0949157995752499,1.8137416044896788,2.9274711612573547,True,exceptional
企21,2025-11-09 17:00:00,義力營造,高雄台電,2 - 4,50.0,1 - 1,100.0,0 - 11,0.0,0 - 0,0.0,3 - 15,20.0,32 - 94,34.04,3,146,江辰翊,1,義力營造,例行賽,2,4,1,1,0,11,0,0,3,15,32,94,1.4773622240886182,8.98700024265729,-0.29612821842184694,0.0,0.007295681373703335,0.7555947371582826,3.762841069817735,8.98700024265729,True,exceptional
企21,2025-11-22 14:00:00,高雄台電,臺北鯨華,7 - 22,31.82,1 - 5,20.0,0 - 18,0.0,1 - 1,100.0,2 - 9,22.22,0 - 1,0.0,8,108,胡曉佩,1,高雄台電,例行賽,7,22,1,5,0,18,1,1,2,9,0,1,-0.07243014026874314,0.3414530608505359,-0.5767505946787177,2.736313262875625,0.2585491714130358,-0.0949157995752499,0.3892700141711339,2.736313262875625,True,exceptional
企21,2025-11-23 13:00:00,高雄台電,臺北鯨華,2 - 18,11.11,1 - 2,50.0,0 - 13,0.0,0 - 0,0.0,2 - 7,28.57,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,2,18,1,2,0,13,0,0,2,7,0,0,-1.096056912377371,2.1668776023141727,-0.5767505946787177,-0.5181065691716912,0.5570608316703346,-0.0949157995752499,-0.7977896444276534,2.1668776023141727,True,exceptional
企21,2025-11-29 18:00:00,義力營造,新北中纖,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,3 - 3,100.0,5 - 17,29.41,0,146,江辰翊,1,義力營造,例行賽,0,1,0,0,0,0,0,0,3,3,5,17,-0.4380099906873644,-0.12717453173571636,-0.29612821842184694,0.0,3.005759710709403,0.47715479338838734,-0.5138681637196025,3.005759710709403,True,exceptional
企21,2025-12-06 16:00:00,臺北鯨華,高雄台電,6 - 23,26.09,1 - 1,100.0,0 - 11,0.0,7 - 11,63.64,4 - 8,50.0,0 - 0,0.0,7,59,林良黛,1,臺北鯨華,例行賽,6,23,1,1,0,11,7,11,4,8,0,0,-0.07116820250432802,4.16625411136484,-0.5547769932868728,0.9194884450020306,0.7980499955369695,-0.11785113019775789,0.025330122790326936,4.16625411136484,True,exceptional
企21,2025-12-07 15:00:00,高雄台電,新北中纖,2 - 7,28.57,1 - 3,33.33,0 - 7,0.0,1 - 1,100.0,0 - 0,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,2,7,1,3,0,7,1,1,0,0,0,0,-0.23306688625392133,1.1525500321075453,-0.5767505946787177,2.736313262875625,-0.786006590936126,-0.0949157995752499,-0.7977896444276534,2.736313262875625,True,exceptional
企21,2025-12-14 15:00:00,高雄台電,義力營造,2 - 5,40.0,0 - 0,0.0,0 - 6,0.0,0 - 1,0.0,0 - 0,0.0,1 - 2,50.0,2,108,胡曉佩,1,高雄台電,例行賽,2,5,0,0,0,6,0,1,0,0,1,2,0.3318801927031822,-0.8754966334585552,-0.5767505946787177,-0.5181065691716912,-0.786006590936126,10.440737953277488,-1.035201576147411,10.440737953277488,True,exceptional
企21,2025-12-20 16:00:00,臺北鯨華,義力營造,12 - 28,42.86,3 - 5,60.0,1 - 8,12.5,8 - 15,53.33,5 - 10,50.0,0 - 0,0.0,16,59,林良黛,1,臺北鯨華,例行賽,12,28,3,5,1,8,8,15,5,10,0,0,0.81581914712228,2.312838029112788,1.4117424787816013,0.5182146644568667,0.7980499955369695,-0.11785113019775789,1.6667220796035078,2.312838029112788,True,exceptional
企21,2025-12-28 17:00:00,高雄台電,臺北鯨華,4 - 14,28.57,0 - 7,0.0,2 - 7,28.57,1 - 4,25.0,0 - 4,0.0,0 - 0,0.0,6,108,胡曉佩,1,高雄台電,例行賽,4,14,0,7,2,7,1,4,0,4,0,0,-0.23306688625392133,-0.8754966334585552,2.9112387611067367,0.29549838884013774,-0.786006590936126,-0.0949157995752499,-0.08555384926838104,2.9112387611067367,True,exceptional
企21,2026-01-11 15:00:00,高雄台電,新北中纖,7 - 32,21.88,1 - 6,16.67,0 - 7,0.0,1 - 1,100.0,1 - 7,14.29,0 - 0,0.0,8,108,胡曉佩,1,高雄台電,例行賽,7,32,1,6,0,7,1,1,1,7,0,0,-0.5637314495280266,0.13883093674807234,-0.5767505946787177,2.736313262875625,-0.11423783108151203,-0.0949157995752499,0.3892700141711339,2.736313262875625,True,exceptional
企21,2026-01-18 13:00:00,義力營造,新北中纖,1 - 2,50.0,0 - 0,0.0,1 - 12,8.33,0 - 0,0.0,1 - 15,6.67,29 - 124,23.39,2,146,江辰翊,1,義力營造,例行賽,1,2,0,0,1,12,0,0,1,15,29,124,1.4773622240886182,-0.12717453173571636,1.634175085609479,0.0,-0.49232338751435767,0.1151227282707265,2.337271325305289,2.337271325305289,True,exceptional
企21,2026-01-18 15:00:00,臺北鯨華,高雄台電,5 - 18,27.78,1 - 1,100.0,0 - 6,0.0,2 - 8,25.0,2 - 11,18.18,0 - 0,0.0,6,59,林良黛,1,臺北鯨華,例行賽,5,18,1,1,0,6,2,8,2,11,0,0,0.01821811955106665,4.16625411136484,-0.5547769932868728,-0.5844125133166048,-0.5286110562745042,-0.11785113019775789,-0.15704676130002648,4.16625411136484,True,exceptional
企21,2026-01-25 15:00:00,高雄台電,義力營造,3 - 4,75.0,1 - 1,100.0,0 - 7,0.0,1 - 1,100.0,1 - 2,50.0,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,3,4,1,1,0,7,1,1,1,2,0,0,2.0618143802358704,5.2092518380869,-0.5767505946787177,2.736313262875625,1.5644789229008718,-0.0949157995752499,-0.5603777127078959,5.2092518380869,True,exceptional
企21,2026-01-31 14:00:00,高雄台電,義力營造,5 - 12,41.67,4 - 7,57.14,0 - 6,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,5,12,4,7,0,6,0,0,0,1,0,0,0.41442276679402773,2.6013286431825184,-0.5767505946787177,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,0.6266819458908913,2.6013286431825184,True,exceptional
企21,2026-02-07 18:00:00,高雄台電,新北中纖,12 - 20,60.0,3 - 14,21.43,0 - 16,0.0,0 - 0,0.0,2 - 8,25.0,0 - 0,0.0,15,108,胡曉佩,1,高雄台電,例行賽,12,20,3,14,0,16,0,0,2,8,0,0,1.3204140141504326,0.42846496399363593,-0.5767505946787177,-0.5181065691716912,0.38923616598237293,-0.0949157995752499,2.051153536209436,2.051153536209436,True,exceptional
企21,2026-02-28 16:00:00,義力營造,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,1 - 1,100.0,4 - 10,40.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,2,0,0,1,1,4,10,-0.4380099906873644,-0.12717453173571636,-0.29612821842184694,0.0,3.005759710709403,1.1140185092681263,-0.5138681637196025,3.005759710709403,True,exceptional
企18,2022-10-15 13:00:00,高雄台電,臺北鯨華,0 - 0,0.0,1 - 2,50.0,0 - 1,0.0,0 - 0,0.0,1 - 3,33.33,0 - 20,0.0,1,42,劉玉淳,2,高雄台電,例行賽,0,0,1,2,0,1,0,0,1,3,0,20,-0.7990136253714989,2.476925843529805,-0.42614279765288104,-0.16014131520352345,0.4470790924464557,-1.400786074607568,-0.2576850711563125,2.476925843529805,True,exceptional
